USVI,FGB,PR,DT,Temp,Salinity,CalcDensity,CRMTA,SampleDensity,TA1,TA2,MeanTA,TACorrection,TA1pH,TA2pH,MeanTApH,CO2,CorrectedCO2,Label
0,0,1,0,29.5,32.9,1.016608816,2221.75,1.021635792,2350.6,2348.9,2349.75,2303.396996,8.198,8.196,8.197,2033.98,1991.154289,1
0,0,1,0,29.1,33.4,1.01613234,2221.75,1.02202826,2383.7,2380.1,2381.9,2333.970837,8.231,8.215,8.223,2033.98,1984.248462,0
0,0,1,0,28.9,33.6,1.015911653,2221.75,1.022179194,2360,2360.4,2360.2,2312.397553,8.184,8.196,8.19,2033.98,2014.993986,1
0,0,1,0,29,33.7,1.015949893,2221.75,1.022239411,2355.1,2358.7,2356.9,2309.033332,8.189,8.213,8.201,2033.98,1981.121437,0
0,0,1,0,29.5,33.7,1.016321592,2221.75,1.022239411,2326.8,2330.3,2328.55,2281.300103,8.179,8.179,8.179,2033.98,1964.77165,1
0,0,1,0,29.5,33.6,1.01635774,2221.75,1.022163943,2370,2369.4,2369.7,2321.726011,8.303,8.3,8.3015,2033.98,1924.532378,0
0,0,1,0,28.5,33.5,1.015650318,2221.75,1.02211895,2411.3,2410.5,2410.9,2362.136484,8.204,8.198,8.201,2033.98,2020.338977,1
0,0,1,0,29,33.4,1.016057978,2221.75,1.022043478,2391.6,2391,2391.3,2343.133395,8.175,8.171,8.173,2033.98,2076.171766,1
0,0,1,0,28.6,33.8,1.015616476,2221.75,1.022314882,2390,2387.2,2388.6,2339.871181,8.194,8.19,8.192,2033.98,2007.019642,1
0,0,1,0,28.3,34,1.015321172,2221.75,1.022481114,2388.5,2387.2,2387.85,2338.757816,8.192,8.188,8.19,2033.98,2005.670158,1
0,0,1,0,28.6,33.9,1.015580277,2221.75,1.022405628,2395.7,2399.1,2397.4,2348.270955,8.194,8.209,8.2015,2033.98,2009.639801,1
0,0,1,0,28.6,34.1,1.015507672,2221.75,1.022556604,2392.5,2391.3,2391.9,2341.62035,8.228,8.225,8.2265,2033.98,2008.680333,1
0,0,1,0,28.8,33.8,1.015765093,2221.75,1.02237582,2410.2,2408.9,2409.55,2360.223404,8.218,8.206,8.212,2033.98,2024.917732,1
0,0,1,0,28.9,33.9,1.015803179,2221.75,1.022390357,2411.9,2411.5,2411.7,2362.292807,8.218,8.218,8.218,2033.98,2019.174756,1
0,0,0,1,31.2,36.1,1.016694001,2221.75,1.024220383,2436,2434.1,2435.05,2376.482342,8.19,8.178,8.184,2033.98,2052.090278,1
0,0,0,1,31.3,35.5,1.016994913,2221.75,1.023644613,2435,2436.8,2435.9,2378.649964,8.194,8.192,8.193,2033.98,2050.846949,1
0,0,0,1,31.9,36.6,1.017022375,2221.75,1.024537539,2440.1,2441.2,2440.65,2381.212255,8.207,8.198,8.2025,2033.98,2041.898875,1
0,0,0,1,30.3,36.2,1.015988557,2221.75,1.024204387,2443.3,2442.1,2442.7,2384.787211,8.222,8.208,8.215,2033.98,2054.966456,1
0,0,0,1,30.9,36.4,1.016357314,2221.75,1.02441684,2444.6,2444.6,2444.6,2386.147305,8.234,8.232,8.233,2033.98,2049.474067,1
0,0,0,1,30.2,35.9,1.016027972,2221.75,1.024008163,2447.6,2448.9,2448.25,2389.865583,8.215,8.208,8.2115,2033.98,2048.609597,1
0,0,0,1,31.4,36.3,1.016766259,2221.75,1.024218492,2445.5,2444.9,2445.2,2387.195251,8.186,8.195,8.1905,2033.98,2065.204049,1
0,0,0,1,30.2,35.2,1.016290591,2221.75,1.023448507,2437.6,2437.5,2437.55,2381.516653,8.225,8.213,8.219,2033.98,2045.811544,1
0,0,0,1,30.7,36,1.016361016,2221.75,1.024053175,2435.9,2436.4,2436.15,2378.743222,8.174,8.174,8.174,2033.98,2073.209574,1
0,0,0,1,32.4,36.4,1.017469972,2221.75,1.024401563,2406.6,2409.1,2407.85,2350.30829,8.186,8.191,8.1885,2033.98,2036.061726,1
0,0,0,1,31.8,36.35,1.017043906,2221.75,1.024515614,2419.2,2417.6,2418.4,2360.344177,8.183,8.198,8.1905,2033.98,2044.859333,1
0,0,0,1,31.1,35.7,1.016771157,2221.75,1.023887435,2422.8,2424.9,2423.85,2367.115269,8.215,8.218,8.2165,2033.98,2040.891848,1
0,0,0,1,31.6,35.5,1.017217671,2221.75,1.023857266,2433.2,2435.2,2434.2,2377.293855,8.215,8.22,8.2175,2033.98,2049.004369,1
0,0,0,1,31,36.4,1.016431463,2221.75,1.024401563,2444.4,2444.8,2444.6,2386.182893,8.241,8.237,8.239,2033.98,2049.440476,1
0,0,0,1,30.8,35.9,1.016473034,2221.75,1.024038672,2449.3,2449.6,2449.45,2391.764707,8.252,8.249,8.2505,2033.98,2046.463337,1
0,0,0,1,32.3,35.8,1.017624239,2238.04,1.023947813,2424.8,2425.2,2425,2370.275003,8.249,8.261,8.255,2033.98,2020.439486,1
